team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Buyuksehyr,2026-W08,2026-02-16,0.667,16.7,6,1
Buyuksehyr,2026-W09,2026-02-23,0.0,0.0,3,0
Buyuksehyr,2026-W10,2026-03-02,1.0,25.0,2,1
Buyuksehyr,2026-W11,2026-03-09,0.0,0.0,2,0
Buyuksehyr,2026-W14,2026-03-30,0.0,0.0,3,0
Buyuksehyr,2026-W15,2026-04-06,0.25,6.2,4,1
Buyuksehyr,2026-W16,2026-04-13,0.0,0.0,7,0
Buyuksehyr,2026-W17,2026-04-20,0.0,0.0,2,0
Eyupspor,2025-W28,2025-07-07,0.0,0.0,1,0
Eyupspor,2025-W29,2025-07-14,0.0,0.0,1,0
Eyupspor,2025-W33,2025-08-11,0.0,0.0,1,0
Eyupspor,2025-W34,2025-08-18,0.0,0.0,1,0
Eyupspor,2025-W38,2025-09-15,3.0,75.0,2,2
Eyupspor,2025-W40,2025-09-29,3.524,88.1,21,19
Eyupspor,2025-W41,2025-10-06,1.5,37.5,12,10
Eyupspor,2025-W42,2025-10-13,0.0,0.0,28,6
Eyupspor,2025-W43,2025-10-20,0.0,0.0,3,0
Eyupspor,2025-W47,2025-11-17,0.0,0.0,1,0
Eyupspor,2025-W51,2025-12-15,0.0,0.0,2,0
Eyupspor,2025-W52,2025-12-22,0.0,0.0,1,0
Eyupspor,2026-W01,2025-12-29,4.0,100.0,13,13
Eyupspor,2026-W02,2026-01-05,2.0,50.0,4,2
Eyupspor,2026-W03,2026-01-12,0.0,0.0,13,0
Eyupspor,2026-W04,2026-01-19,2.333,58.3,3,2
Eyupspor,2026-W05,2026-01-26,0.75,18.8,4,1
Eyupspor,2026-W06,2026-02-02,0.0,0.0,1,0
Eyupspor,2026-W07,2026-02-09,0.0,0.0,3,1
Eyupspor,2026-W08,2026-02-16,0.0,0.0,2,0
Eyupspor,2026-W09,2026-02-23,0.0,0.0,3,0
Eyupspor,2026-W11,2026-03-09,0.0,0.0,1,0
Eyupspor,2026-W12,2026-03-16,0.0,0.0,1,0
Eyupspor,2026-W14,2026-03-30,0.0,0.0,1,0
Eyupspor,2026-W16,2026-04-13,0.0,0.0,2,0
Fenerbahce,2025-W28,2025-07-07,0.0,0.0,1,0
Fenerbahce,2025-W29,2025-07-14,0.0,0.0,1,0
Fenerbahce,2025-W32,2025-08-04,0.0,0.0,2,0
Fenerbahce,2025-W33,2025-08-11,0.0,0.0,2,0
Fenerbahce,2025-W34,2025-08-18,0.8,20.0,5,2
Fenerbahce,2025-W35,2025-08-25,2.818,70.5,55,45
Fenerbahce,2025-W36,2025-09-01,2.0,50.0,14,11
Fenerbahce,2025-W37,2025-09-08,0.944,23.6,36,20
Fenerbahce,2025-W38,2025-09-15,0.476,11.9,21,3
Fenerbahce,2025-W39,2025-09-22,1.333,33.3,12,5
Fenerbahce,2025-W40,2025-09-29,0.667,16.7,6,1
Fenerbahce,2025-W41,2025-10-06,2.5,62.5,4,3
Fenerbahce,2025-W42,2025-10-13,0.0,0.0,1,0
Fenerbahce,2025-W43,2025-10-20,0.0,0.0,1,0
Fenerbahce,2025-W44,2025-10-27,0.0,0.0,1,0
Fenerbahce,2025-W45,2025-11-03,0.0,0.0,1,0
Fenerbahce,2025-W46,2025-11-10,1.333,33.3,3,1
Fenerbahce,2025-W47,2025-11-17,0.0,0.0,1,0
Fenerbahce,2025-W48,2025-11-24,0.75,18.8,4,1
Fenerbahce,2025-W49,2025-12-01,0.0,0.0,2,0
Fenerbahce,2025-W50,2025-12-08,0.8,20.0,5,2
Fenerbahce,2025-W51,2025-12-15,0.0,0.0,3,0
Fenerbahce,2025-W52,2025-12-22,0.0,0.0,2,0
Fenerbahce,2026-W01,2025-12-29,0.0,0.0,2,0
Fenerbahce,2026-W02,2026-01-05,0.0,0.0,1,0
Fenerbahce,2026-W03,2026-01-12,0.0,0.0,3,1
Fenerbahce,2026-W04,2026-01-19,0.0,0.0,5,0
Fenerbahce,2026-W05,2026-01-26,0.75,18.8,4,1
Fenerbahce,2026-W06,2026-02-02,0.0,0.0,2,0
Fenerbahce,2026-W07,2026-02-09,0.6,15.0,5,1
Fenerbahce,2026-W08,2026-02-16,0.0,0.0,5,0
Fenerbahce,2026-W10,2026-03-02,1.444,36.1,9,4
Fenerbahce,2026-W11,2026-03-09,2.652,66.3,23,19
Fenerbahce,2026-W12,2026-03-16,0.0,0.0,5,0
Fenerbahce,2026-W15,2026-04-06,0.333,8.3,3,1
Fenerbahce,2026-W16,2026-04-13,0.762,19.0,21,11
Fenerbahce,2026-W17,2026-04-20,0.2,5.0,5,1
Galatasaray,2025-W30,2025-07-21,0.0,0.0,1,0
Galatasaray,2025-W31,2025-07-28,0.0,0.0,1,0
Galatasaray,2025-W32,2025-08-04,0.0,0.0,1,0
Galatasaray,2025-W35,2025-08-25,0.0,0.0,1,0
Galatasaray,2025-W37,2025-09-08,0.0,0.0,1,0
Galatasaray,2025-W38,2025-09-15,2.0,50.0,3,2
