season,match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,manager_out,fire_date,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2004-2005,2005-05-01,A. Sebatspor,Genclerbirligi,0.0,5.0,A,1,-5.0,0,30,,,,-1,,,,2005-04-25,2005-04-18,,,
2004-2005,2005-05-08,A. Sebatspor,Denizlispor,2.0,4.0,H,0,-2.0,0,31,,,,-1,,,,2005-05-02,2005-04-25,,,
2004-2005,2005-05-14,A. Sebatspor,Gaziantepspor,2.0,0.0,H,1,2.0,3,32,,,,-1,,,,2005-05-09,2005-05-02,,,
2004-2005,2005-05-21,A. Sebatspor,Sakaryaspor,2.0,4.0,H,0,-2.0,0,33,,,,-1,,,,2005-05-16,2005-05-09,,,
2004-2005,2005-05-29,A. Sebatspor,Besiktas,2.0,2.0,D,1,0.0,1,34,,,,-1,,,,2005-05-23,2005-05-16,,,
1994-1995,1994-08-14,Ad. Demirspor,Antalya,1.0,0.0,H,1,1.0,3,1,5002,Samet Aybaba,-22.0,7,Samet Aybaba,1995-02-23,0.0,1994-08-08,1994-08-01,,Türkiye,66.1
1994-1995,1994-08-21,Ad. Demirspor,Kayseri,2.0,4.0,H,0,-2.0,0,2,5002,Samet Aybaba,-21.0,7,Samet Aybaba,1995-02-23,0.0,1994-08-15,1994-08-08,,Türkiye,66.1
1994-1995,1994-08-28,Ad. Demirspor,Samsunspor,2.0,0.0,H,1,2.0,3,3,5002,Samet Aybaba,-20.0,7,Samet Aybaba,1995-02-23,0.0,1994-08-22,1994-08-15,,Türkiye,66.1
1994-1995,1994-09-11,Ad. Demirspor,Besiktas,0.0,3.0,H,0,-3.0,0,4,5002,Samet Aybaba,-19.0,7,Samet Aybaba,1995-02-23,0.0,1994-09-05,1994-08-29,,Türkiye,66.1
1994-1995,1994-09-18,Ad. Demirspor,Gaziantepspor,3.0,2.0,H,1,1.0,3,5,5002,Samet Aybaba,-18.0,7,Samet Aybaba,1995-02-23,0.0,1994-09-12,1994-09-05,,Türkiye,66.1
1994-1995,1994-09-24,Ad. Demirspor,Fenerbahce,0.0,3.0,H,0,-3.0,0,6,5002,Samet Aybaba,-17.0,7,Samet Aybaba,1995-02-23,0.0,1994-09-19,1994-09-12,,Türkiye,66.1
1994-1995,1994-10-02,Ad. Demirspor,Ankaragucu,2.0,3.0,A,1,-1.0,0,7,5002,Samet Aybaba,-16.0,7,Samet Aybaba,1995-02-23,0.0,1994-09-26,1994-09-19,,Türkiye,66.1
1994-1995,1994-10-09,Ad. Demirspor,Denizlispor,0.0,2.0,H,0,-2.0,0,8,5002,Samet Aybaba,-15.0,7,Samet Aybaba,1995-02-23,0.0,1994-10-03,1994-09-26,,Türkiye,66.1
1994-1995,1994-10-16,Ad. Demirspor,Kocaelispor,1.0,1.0,D,1,0.0,1,9,5002,Samet Aybaba,-14.0,7,Samet Aybaba,1995-02-23,0.0,1994-10-10,1994-10-03,,Türkiye,66.1
1994-1995,1994-10-23,Ad. Demirspor,Vanspor,0.0,2.0,H,0,-2.0,0,10,5002,Samet Aybaba,-13.0,7,Samet Aybaba,1995-02-23,0.0,1994-10-17,1994-10-10,,Türkiye,66.1
1994-1995,1994-10-30,Ad. Demirspor,Zeytinburnu,2.0,4.0,H,0,-2.0,0,11,5002,Samet Aybaba,-12.0,7,Samet Aybaba,1995-02-23,0.0,1994-10-24,1994-10-17,,Türkiye,66.1
1994-1995,1994-11-05,Ad. Demirspor,Trabzonspor,0.0,3.0,A,1,-3.0,0,12,5002,Samet Aybaba,-11.0,7,Samet Aybaba,1995-02-23,0.0,1994-10-31,1994-10-24,,Türkiye,66.1
1994-1995,1994-11-13,Ad. Demirspor,Bursaspor,0.0,2.0,H,0,-2.0,0,13,5002,Samet Aybaba,-10.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-07,1994-10-31,,Türkiye,66.1
1994-1995,1994-11-19,Ad. Demirspor,Galatasaray,1.0,2.0,A,1,-1.0,0,14,5002,Samet Aybaba,-9.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-14,1994-11-07,,Türkiye,66.1
1994-1995,1994-11-27,Ad. Demirspor,Genclerbirligi,0.0,0.0,D,0,0.0,1,15,5002,Samet Aybaba,-8.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-21,1994-11-14,,Türkiye,66.1
1994-1995,1994-12-04,Ad. Demirspor,P. Ofisi,1.0,1.0,D,1,0.0,1,16,5002,Samet Aybaba,-7.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-28,1994-11-21,,Türkiye,66.1
1994-1995,1994-12-18,Ad. Demirspor,Altay,2.0,3.0,H,0,-1.0,0,17,5002,Samet Aybaba,-6.0,7,Samet Aybaba,1995-02-23,0.0,1994-12-12,1994-12-05,,Türkiye,66.1
1994-1995,1995-01-23,Ad. Demirspor,Antalya,1.0,2.0,H,0,-1.0,0,18,5002,Samet Aybaba,-5.0,7,Samet Aybaba,1995-02-23,0.0,1995-01-23,1995-01-16,,Türkiye,66.1
1994-1995,1995-01-29,Ad. Demirspor,Kayseri,0.0,2.0,A,1,-2.0,0,19,5002,Samet Aybaba,-4.0,7,Samet Aybaba,1995-02-23,0.0,1995-01-23,1995-01-16,,Türkiye,66.1
1994-1995,1995-02-05,Ad. Demirspor,Samsunspor,1.0,5.0,H,0,-4.0,0,20,5002,Samet Aybaba,-3.0,7,Samet Aybaba,1995-02-23,0.0,1995-01-30,1995-01-23,,Türkiye,66.1
1994-1995,1995-02-12,Ad. Demirspor,Besiktas,0.0,1.0,A,1,-1.0,0,21,5002,Samet Aybaba,-2.0,7,Samet Aybaba,1995-02-23,0.0,1995-02-06,1995-01-30,,Türkiye,66.1
1994-1995,1995-02-19,Ad. Demirspor,Gaziantepspor,0.0,2.0,H,0,-2.0,0,22,5002,Samet Aybaba,-1.0,7,Samet Aybaba,1995-02-23,0.0,1995-02-13,1995-02-06,,Türkiye,66.1
1994-1995,1995-02-26,Ad. Demirspor,Fenerbahce,0.0,1.0,A,1,-1.0,0,23,59973,Kemal Omeragic,0.0,7,Samet Aybaba,1995-02-23,1.0,1995-02-20,1995-02-13,,Serbia,63.4
1994-1995,1995-03-05,Ad. Demirspor,Ankaragucu,0.0,3.0,H,0,-3.0,0,24,59973,Kemal Omeragic,1.0,7,Samet Aybaba,1995-02-23,1.0,1995-02-27,1995-02-20,,Serbia,63.4
