trainer_id,trainer_slug,manager,nationality,date_of_birth,place_of_birth,citizenship
34322,mehmet-ak,Mehmet Ak,Türkiye,1982-05-18,Trabzon,Türkiye
22570,muhammet-akagunduz,Muhammet Akagündüz,Austria,1978-01-11,Bingöl,Austria Türkiye
125536,olcay-sahan,Olcay Şahan,Türkiye,1987-05-26,Düsseldorf,Türkiye Germany
46223,bayram-toysal,Bayram Toysal,Türkiye,1977-01-01,Hatay,Türkiye
63841,adem-caglayan,Adem Çağlayan,Türkiye,1981-11-19,Erzurum,Türkiye
57735,ibrahim-celik,İbrahim Çelik,Türkiye,1980-05-12,Balikesir,Türkiye
37816,ilker-puren,İlker Püren,Türkiye,1983-09-20,Ankara,Türkiye
10654,ozcan-kiziltan,Özcan Kızıltan,Türkiye,1959-07-12,Istanbul,Türkiye
8008,taner-taskin,Taner Taşkın,Türkiye,1972-10-27,Izmir,Türkiye
52554,mustafa-ozer,Mustafa Özer,Türkiye,1969-08-27,Siirt,Türkiye
24256,irfan-buz,İrfan Buz,Germany,1967-04-15,Istanbul,Germany Türkiye
5014,bulent-uygun,Bülent Uygun,Türkiye,1971-08-01,Sakarya,Türkiye
207,jurgen-rober,Jürgen Röber,Germany,1953-12-25,Gernrode,Germany
1061,aykut-kocaman,Aykut Kocaman,Türkiye,1965-04-05,Sakarya,Türkiye
2626,alper-boguslu,Alper Boğuşlu,Türkiye,,,
41917,mersud-demirovic,Mersud Demirovic,Bosnia-Herzegovina,1958-09-17,Bihac,Bosnia-Herzegovina Türkiye
86916,haluk-seckin,Haluk Seçkin,Türkiye,1963-08-24,Sanliurfa,Türkiye
5211,umit-erol-tok,Ümit Erol Tok,Türkiye,1951-10-08,Sinop,Türkiye
6646,sinan-engin,Sinan Engin,Türkiye,1964-11-04,Trabzon,Türkiye
65470,mujdat-yalman,Müjdat Yalman,Türkiye,1949-08-14,Ankara,Türkiye
84982,taner-hanci,Taner Hanci,Türkiye,1954-09-12,Ankara,Türkiye
49793,alaattin-gulerce,Alaattin Gülerce,Türkiye,1970-07-09,Malatya,Türkiye
91297,alex,Alex,Brazil,1977-09-14,Curitiba,Brazil
96813,nuri-sahin,Nuri Şahin,Türkiye,1988-09-05,Lüdenscheid,Türkiye Germany
30988,tamer-tuna,Tamer Tuna,Türkiye,1976-07-01,Ardahan,Türkiye
33374,stjepan-tomas,Stjepan Tomas,Croatia,1976-03-06,Bugojno,Croatia
56577,david-badia-cequier,David Badia Cequier,Spain,1974-09-04,Gavà,Spain
8631,leonardo,Leonardo,Brazil,1969-09-05,Niterói,Brazil Italy
434,jose-morais,José Morais,Portugal,1965-07-27,Golungo Alto,Portugal Angola
99122,samuel-etoo,Samuel Eto'o,Cameroon,1981-03-10,Douala,Cameroon Spain
43867,mehmet-ugurlu,Mehmet Uğurlu,Türkiye,1967-02-16,Antalya,Türkiye
7479,hami-mandirali,Hami Mandıralı,Türkiye,1968-07-20,Trabzon,Türkiye
17834,engin-korukir,Engin Korukır,Türkiye,1958-06-13,Kocaeli,Türkiye
815,mehmet-ozdilek,Mehmet Özdilek,Türkiye,1966-04-01,Samsun,Türkiye
148540,adnan-gulek,Adnan Gülek,Türkiye,1963-12-17,Istanbul,Türkiye
63332,adnan-dincer,Adnan Dinçer,Türkiye,,,
67791,mehmet-ali-ozturk,Mehmet Ali Öztürk,Türkiye,1954-03-24,Mersin,Türkiye
67790,cezmi-turhan,Cezmi Turhan,Türkiye,1957-07-08,Nigde,Türkiye
57844,metin-unal,Metin Ünal,Türkiye,1946-11-15,Antalya,Türkiye
6206,rudiger-abramczik,Rüdiger Abramczik,Germany,1956-02-18,Gelsenkirchen,Germany
2332,senol-gunes,Şenol Güneş,Türkiye,1952-06-01,Trabzon,Türkiye
4708,ahmet-akcan,Ahmet Akcan,Türkiye,1958-02-17,Bursa,Türkiye
60106,erdem-tugal,Erdem Tuğal,Türkiye,1948-04-27,Cankiri,Türkiye
60796,valeriu-neagu,Valeriu Neagu,Romania,1930-04-26,,Romania
28492,rasim-kara,Rasim Kara,Türkiye,1950-06-10,Eskisehir,Türkiye
154881,ali-riza-senol,Ali Rıza Şenol,Türkiye,1941-02-19,Tetovo,Türkiye North Macedonia
17499,peter-stubbe,Peter Stubbe,Germany,1943-08-08,,Germany
130496,kamuran-soykiray,Kamuran Soykıray,Türkiye,1931-07-01,Izmir,Türkiye
72396,abdullah-matay,Abdullah Matay,Türkiye,1928-01-06,Eskisehir,Türkiye
77975,serpil-hamdi-tuzun,Serpil Hamdi Tüzün,Türkiye,1939-07-20,Istanbul,Türkiye
128202,lefter-kucukandonyadis,Lefter Küçükandonyadis,Türkiye,1924-12-22,Istanbul,Türkiye
114979,aleksandar-petakovic,Aleksandar Petaković,Serbia,1930-02-06,Belgrad,Serbia
91727,zafer-uysal,Zafer Uysal,Türkiye,1976-01-07,Amasya,Türkiye
17012,ismail-ertekin,İsmail Ertekin,Türkiye,1959-01-01,Bursa,Türkiye
43963,veyis-kanber,Veyis Kanber,Türkiye,1970-09-09,Erzurum,Türkiye
41899,cem-cambaz,Cem Cambaz,Türkiye,1977-06-26,Mugla,Türkiye
70016,mehmet-demirtas,Mehmet Demirtaş,Türkiye,1958-09-15,Istanbul,Türkiye
